QQQ Puts Production Download Started: Fri Aug  8 15:03:26 CST 2025
Range: 2016-01-04 to 2025-08-07
Estimated business days: 2491
Output: /Volumes/SSD 4TB/Theta Terminal/QQQ/2025-08-08
Processing year 2016...
Skip 20191230 (exists)
Skip 20191231 (exists)
Processing year 2020...
Skip 20201001 (exists)
Skip 20201002 (exists)
Skip 20201005 (exists)
Skip 20201006 (exists)
Skip 20201007 (exists)
Skip 20201008 (exists)
Skip 20201009 (exists)
Skip 20201012 (exists)
Skip 20201013 (exists)
Skip 20201014 (exists)
Skip 20201015 (exists)
Skip 20201016 (exists)
Skip 20201019 (exists)
Skip 20201020 (exists)
Skip 20201021 (exists)
Skip 20201022 (exists)
Skip 20201023 (exists)
Skip 20201026 (exists)
Skip 20201027 (exists)
Skip 20201028 (exists)
Skip 20201029 (exists)
Skip 20201030 (exists)
Skip 20201102 (exists)
Skip 20201103 (exists)
Skip 20201104 (exists)
Skip 20201105 (exists)
Skip 20201106 (exists)
Skip 20201109 (exists)
Skip 20201110 (exists)
Skip 20201111 (exists)
Skip 20201112 (exists)
Skip 20201113 (exists)
Skip 20201116 (exists)
Skip 20201117 (exists)
Skip 20201118 (exists)
Skip 20201119 (exists)
Skip 20201120 (exists)
Skip 20201123 (exists)
Skip 20201124 (exists)
Skip 20201125 (exists)
Skip 20201126 (exists)
Skip 20201127 (exists)
Skip 20201130 (exists)
Skip 20201201 (exists)
Skip 20201202 (exists)
Skip 20201203 (exists)
Skip 20201204 (exists)
Skip 20201207 (exists)
Skip 20201208 (exists)
Skip 20201209 (exists)
Skip 20201210 (exists)
Skip 20201211 (exists)
Skip 20201214 (exists)
Skip 20201215 (exists)
Skip 20201216 (exists)
Skip 20201217 (exists)
Skip 20201218 (exists)
Skip 20201221 (exists)
Skip 20201222 (exists)
Skip 20201223 (exists)
Skip 20201224 (exists)
Skip 20201225 (exists)
Skip 20201228 (exists)
Skip 20201229 (exists)
Skip 20201230 (exists)
Skip 20201231 (exists)
Processing year 2021...
Skip 20211001 (exists)
Skip 20211004 (exists)
Skip 20211005 (exists)
Skip 20211006 (exists)
Skip 20211007 (exists)
Skip 20211008 (exists)
Skip 20211011 (exists)
Skip 20211012 (exists)
Skip 20211013 (exists)
Skip 20211014 (exists)
Skip 20211015 (exists)
Skip 20211018 (exists)
Skip 20211019 (exists)
Skip 20211020 (exists)
Skip 20211021 (exists)
Skip 20211022 (exists)
Skip 20211025 (exists)
Skip 20211026 (exists)
Skip 20211027 (exists)
Skip 20211028 (exists)
Skip 20211029 (exists)
Skip 20211101 (exists)
Skip 20211102 (exists)
Skip 20211103 (exists)
Skip 20211104 (exists)
Skip 20211105 (exists)
Skip 20211108 (exists)
Skip 20211109 (exists)
Skip 20211110 (exists)
Skip 20211111 (exists)
Skip 20211112 (exists)
Skip 20211115 (exists)
Skip 20211116 (exists)
Skip 20211117 (exists)
Skip 20211118 (exists)
Skip 20211119 (exists)
Skip 20211122 (exists)
Skip 20211123 (exists)
Skip 20211124 (exists)
Skip 20211125 (exists)
Skip 20211126 (exists)
Skip 20211129 (exists)
Skip 20211130 (exists)
Skip 20211201 (exists)
Skip 20211202 (exists)
Skip 20211203 (exists)
Skip 20211206 (exists)
Skip 20211207 (exists)
Skip 20211208 (exists)
Skip 20211209 (exists)
Skip 20211210 (exists)
Skip 20211213 (exists)
Skip 20211214 (exists)
Skip 20211215 (exists)
Skip 20211216 (exists)
Skip 20211217 (exists)
Skip 20211220 (exists)
Skip 20211221 (exists)
Skip 20211222 (exists)
Skip 20211223 (exists)
Skip 20211224 (exists)
Skip 20211227 (exists)
Skip 20211228 (exists)
Skip 20211229 (exists)
Skip 20211230 (exists)
Skip 20211231 (exists)
Processing year 2022...
Skip 20221003 (exists)
Skip 20221004 (exists)
15:06:53 Downloading 20221005...
✓ 20221005 complete (192M)
PROGRESS: 15% (397/2491) | Rate: 5905/hr | ETA: 21m
15:07:29 Downloading 20221006...
✓ 20221006 complete (198M)
PROGRESS: 15% (398/2491) | Rate: 4975/hr | ETA: 25m
15:08:14 Downloading 20221007...
✓ 20221007 complete (203M)
PROGRESS: 16% (399/2491) | Rate: 4460/hr | ETA: 28m
15:08:49 Downloading 20221010...
✓ 20221010 complete (196M)
PROGRESS: 16% (400/2491) | Rate: 3902/hr | ETA: 32m
15:09:36 Downloading 20221011...
✓ 20221011 complete (191M)
PROGRESS: 16% (401/2491) | Rate: 3341/hr | ETA: 37m
15:10:39 Downloading 20221012...
✓ 20221012 complete (193M)
PROGRESS: 16% (402/2491) | Rate: 2965/hr | ETA: 42m
15:11:35 Downloading 20221013...
✓ 20221013 complete (192M)
PROGRESS: 16% (403/2491) | Rate: 2727/hr | ETA: 45m
15:12:18 Downloading 20221014...
✓ 20221014 complete (209M)
PROGRESS: 16% (404/2491) | Rate: 2547/hr | ETA: 49m
15:12:57 Downloading 20221017...
✓ 20221017 complete (202M)
PROGRESS: 16% (405/2491) | Rate: 2398/hr | ETA: 52m
15:13:34 Downloading 20221018...
✓ 20221018 complete (199M)
PROGRESS: 16% (406/2491) | Rate: 2181/hr | ETA: 57m
15:14:36 Downloading 20221019...
✓ 20221019 complete (200M)
PROGRESS: 16% (407/2491) | Rate: 2040/hr | ETA: 1h 1m
15:15:24 Downloading 20221020...
✓ 20221020 complete (193M)
PROGRESS: 16% (408/2491) | Rate: 1914/hr | ETA: 1h 5m
15:16:14 Downloading 20221021...
✓ 20221021 complete (195M)
PROGRESS: 16% (409/2491) | Rate: 1826/hr | ETA: 1h 8m
15:16:53 Downloading 20221024...
✓ 20221024 complete (188M)
PROGRESS: 16% (410/2491) | Rate: 1700/hr | ETA: 1h 13m
15:17:54 Downloading 20221025...
✓ 20221025 complete (183M)
PROGRESS: 16% (411/2491) | Rate: 1622/hr | ETA: 1h 16m
15:18:39 Downloading 20221026...
✓ 20221026 complete (183M)
PROGRESS: 16% (412/2491) | Rate: 1541/hr | ETA: 1h 20m
15:19:29 Downloading 20221027...
✓ 20221027 complete (182M)
PROGRESS: 16% (413/2491) | Rate: 1488/hr | ETA: 1h 23m
15:20:06 Downloading 20221028...
✓ 20221028 complete (186M)
PROGRESS: 16% (414/2491) | Rate: 1406/hr | ETA: 1h 28m
15:21:06 Downloading 20221031...
✓ 20221031 complete (180M)
PROGRESS: 16% (415/2491) | Rate: 1342/hr | ETA: 1h 32m
15:22:00 Downloading 20221101...
✓ 20221101 complete (188M)
PROGRESS: 16% (416/2491) | Rate: 1264/hr | ETA: 1h 38m
15:23:10 Downloading 20221102...
✓ 20221102 complete (191M)
PROGRESS: 16% (417/2491) | Rate: 1226/hr | ETA: 1h 41m
15:23:51 Downloading 20221103...
✓ 20221103 complete (191M)
PROGRESS: 16% (418/2491) | Rate: 1161/hr | ETA: 1h 47m
15:25:02 Downloading 20221104...
✓ 20221104 complete (195M)
PROGRESS: 16% (419/2491) | Rate: 1124/hr | ETA: 1h 50m
15:25:47 Downloading 20221107...
✓ 20221107 complete (193M)
PROGRESS: 16% (420/2491) | Rate: 1060/hr | ETA: 1h 57m
15:27:12 Downloading 20221108...
✓ 20221108 complete (189M)
PROGRESS: 16% (421/2491) | Rate: 1031/hr | ETA: 2h 0m
15:27:55 Downloading 20221109...
✓ 20221109 complete (191M)
PROGRESS: 16% (422/2491) | Rate: 1017/hr | ETA: 2h 2m
15:28:20 Downloading 20221110...
✓ 20221110 complete (185M)
PROGRESS: 16% (423/2491) | Rate: 1005/hr | ETA: 2h 3m
15:28:42 Downloading 20221111...
✓ 20221111 complete (191M)
PROGRESS: 17% (424/2491) | Rate: 993/hr | ETA: 2h 4m
15:29:04 Downloading 20221114...
✓ 20221114 complete (197M)
PROGRESS: 17% (425/2491) | Rate: 974/hr | ETA: 2h 7m
15:29:37 Downloading 20221115...
✓ 20221115 complete (195M)
PROGRESS: 17% (426/2491) | Rate: 951/hr | ETA: 2h 10m
15:30:17 Downloading 20221116...
✓ 20221116 complete (202M)
PROGRESS: 17% (427/2491) | Rate: 927/hr | ETA: 2h 13m
15:31:03 Downloading 20221117...
✓ 20221117 complete (196M)
PROGRESS: 17% (428/2491) | Rate: 907/hr | ETA: 2h 16m
15:31:43 Downloading 20221118...
✓ 20221118 complete (194M)
PROGRESS: 17% (429/2491) | Rate: 887/hr | ETA: 2h 19m
15:32:27 Downloading 20221121...
✓ 20221121 complete (186M)
PROGRESS: 17% (430/2491) | Rate: 870/hr | ETA: 2h 22m
15:33:05 Downloading 20221122...
✓ 20221122 complete (185M)
PROGRESS: 17% (431/2491) | Rate: 846/hr | ETA: 2h 26m
15:34:01 Downloading 20221123...
✓ 20221123 complete (184M)
PROGRESS: 17% (432/2491) | Rate: 825/hr | ETA: 2h 29m
15:34:51 Downloading 20221124...
✓ 20221124 complete (30B)
PROGRESS: 17% (433/2491) | Rate: 826/hr | ETA: 2h 29m
15:34:52 Downloading 20221125...
✓ 20221125 complete (179M)
PROGRESS: 17% (434/2491) | Rate: 812/hr | ETA: 2h 31m
15:35:28 Downloading 20221128...
✓ 20221128 complete (181M)
PROGRESS: 17% (435/2491) | Rate: 798/hr | ETA: 2h 34m
15:36:08 Downloading 20221129...
✓ 20221129 complete (176M)
PROGRESS: 17% (436/2491) | Rate: 782/hr | ETA: 2h 37m
15:36:53 Downloading 20221130...
✓ 20221130 complete (171M)
PROGRESS: 17% (437/2491) | Rate: 771/hr | ETA: 2h 39m
15:37:27 Downloading 20221201...
✓ 20221201 complete (171M)
PROGRESS: 17% (438/2491) | Rate: 758/hr | ETA: 2h 42m
15:38:05 Downloading 20221202...
✓ 20221202 complete (175M)
PROGRESS: 17% (439/2491) | Rate: 746/hr | ETA: 2h 45m
15:38:44 Downloading 20221205...
✓ 20221205 complete (177M)
PROGRESS: 17% (440/2491) | Rate: 734/hr | ETA: 2h 47m
15:39:24 Downloading 20221206...
✓ 20221206 complete (172M)
PROGRESS: 17% (441/2491) | Rate: 722/hr | ETA: 2h 50m
15:40:05 Downloading 20221207...
✓ 20221207 complete (177M)
PROGRESS: 17% (442/2491) | Rate: 709/hr | ETA: 2h 53m
15:40:48 Downloading 20221208...
✓ 20221208 complete (175M)
PROGRESS: 17% (443/2491) | Rate: 699/hr | ETA: 2h 55m
15:41:27 Downloading 20221209...
✓ 20221209 complete (171M)
PROGRESS: 17% (444/2491) | Rate: 687/hr | ETA: 2h 58m
15:42:11 Downloading 20221212...
✓ 20221212 complete (171M)
PROGRESS: 17% (445/2491) | Rate: 677/hr | ETA: 3h 1m
15:42:49 Downloading 20221213...
✓ 20221213 complete (169M)
PROGRESS: 17% (446/2491) | Rate: 666/hr | ETA: 3h 4m
15:43:35 Downloading 20221214...
✓ 20221214 complete (168M)
PROGRESS: 17% (447/2491) | Rate: 658/hr | ETA: 3h 6m
15:44:10 Downloading 20221215...
✓ 20221215 complete (164M)
PROGRESS: 17% (448/2491) | Rate: 649/hr | ETA: 3h 8m
15:44:52 Downloading 20221216...
✓ 20221216 complete (170M)
PROGRESS: 18% (449/2491) | Rate: 642/hr | ETA: 3h 10m
15:45:23 Downloading 20221219...
✓ 20221219 complete (160M)
PROGRESS: 18% (450/2491) | Rate: 632/hr | ETA: 3h 13m
15:46:07 Downloading 20221220...
✓ 20221220 complete (159M)
PROGRESS: 18% (451/2491) | Rate: 627/hr | ETA: 3h 15m
15:46:34 Downloading 20221221...
✓ 20221221 complete (160M)
PROGRESS: 18% (452/2491) | Rate: 619/hr | ETA: 3h 17m
15:47:12 Downloading 20221222...
✓ 20221222 complete (157M)
PROGRESS: 18% (453/2491) | Rate: 612/hr | ETA: 3h 19m
15:47:49 Downloading 20221223...
✓ 20221223 complete (159M)
PROGRESS: 18% (454/2491) | Rate: 605/hr | ETA: 3h 22m
15:48:27 Downloading 20221226...
✓ 20221226 complete (30B)
PROGRESS: 18% (455/2491) | Rate: 606/hr | ETA: 3h 21m
15:48:28 Downloading 20221227...
✓ 20221227 complete (151M)
PROGRESS: 18% (456/2491) | Rate: 598/hr | ETA: 3h 24m
15:49:08 Downloading 20221228...
✓ 20221228 complete (155M)
PROGRESS: 18% (457/2491) | Rate: 592/hr | ETA: 3h 26m
15:49:44 Downloading 20221229...
✓ 20221229 complete (157M)
PROGRESS: 18% (458/2491) | Rate: 585/hr | ETA: 3h 28m
15:50:25 Downloading 20221230...
✓ 20221230 complete (164M)
PROGRESS: 18% (459/2491) | Rate: 579/hr | ETA: 3h 30m
Processing year 2023...
15:50:57 Downloading 20231002...
✓ 20231002 complete (30B)
PROGRESS: 18% (460/2491) | Rate: 580/hr | ETA: 3h 30m
15:50:59 Downloading 20231003...
✓ 20231003 complete (30B)
PROGRESS: 18% (461/2491) | Rate: 581/hr | ETA: 3h 29m
15:51:00 Downloading 20231004...
✓ 20231004 complete (30B)
PROGRESS: 18% (462/2491) | Rate: 582/hr | ETA: 3h 29m
15:51:02 Downloading 20231005...
✓ 20231005 complete (30B)
PROGRESS: 18% (463/2491) | Rate: 583/hr | ETA: 3h 28m
15:51:03 Downloading 20231006...
✓ 20231006 complete (30B)
PROGRESS: 18% (464/2491) | Rate: 584/hr | ETA: 3h 28m
15:51:05 Downloading 20231009...
✓ 20231009 complete (30B)
PROGRESS: 18% (465/2491) | Rate: 585/hr | ETA: 3h 27m
15:51:07 Downloading 20231010...
✓ 20231010 complete (30B)
PROGRESS: 18% (466/2491) | Rate: 586/hr | ETA: 3h 27m
15:51:08 Downloading 20231011...
✓ 20231011 complete (30B)
PROGRESS: 18% (467/2491) | Rate: 587/hr | ETA: 3h 26m
15:51:10 Downloading 20231012...
✓ 20231012 complete (30B)
PROGRESS: 18% (468/2491) | Rate: 588/hr | ETA: 3h 26m
15:51:11 Downloading 20231013...
✓ 20231013 complete (30B)
PROGRESS: 18% (469/2491) | Rate: 589/hr | ETA: 3h 25m
15:51:13 Downloading 20231016...
✓ 20231016 complete (30B)
PROGRESS: 18% (470/2491) | Rate: 589/hr | ETA: 3h 25m
15:51:14 Downloading 20231017...
✓ 20231017 complete (30B)
PROGRESS: 18% (471/2491) | Rate: 591/hr | ETA: 3h 25m
15:51:16 Downloading 20231018...
✓ 20231018 complete (30B)
PROGRESS: 18% (472/2491) | Rate: 591/hr | ETA: 3h 24m
15:51:18 Downloading 20231019...
✓ 20231019 complete (30B)
PROGRESS: 18% (473/2491) | Rate: 592/hr | ETA: 3h 24m
15:51:19 Downloading 20231020...
✓ 20231020 complete (30B)
PROGRESS: 19% (474/2491) | Rate: 593/hr | ETA: 3h 24m
15:51:21 Downloading 20231023...
✓ 20231023 complete (30B)
PROGRESS: 19% (475/2491) | Rate: 594/hr | ETA: 3h 23m
15:51:22 Downloading 20231024...
✓ 20231024 complete (30B)
PROGRESS: 19% (476/2491) | Rate: 595/hr | ETA: 3h 23m
15:51:24 Downloading 20231025...
✓ 20231025 complete (30B)
PROGRESS: 19% (477/2491) | Rate: 596/hr | ETA: 3h 22m
15:51:25 Downloading 20231026...
✓ 20231026 complete (30B)
PROGRESS: 19% (478/2491) | Rate: 597/hr | ETA: 3h 22m
15:51:27 Downloading 20231027...
✓ 20231027 complete (30B)
PROGRESS: 19% (479/2491) | Rate: 598/hr | ETA: 3h 21m
15:51:29 Downloading 20231030...
✓ 20231030 complete (30B)
PROGRESS: 19% (480/2491) | Rate: 599/hr | ETA: 3h 21m
15:51:30 Downloading 20231031...
✓ 20231031 complete (30B)
PROGRESS: 19% (481/2491) | Rate: 600/hr | ETA: 3h 21m
15:51:32 Downloading 20231101...
✓ 20231101 complete (30B)
PROGRESS: 19% (482/2491) | Rate: 601/hr | ETA: 3h 20m
15:51:33 Downloading 20231102...
✓ 20231102 complete (30B)
PROGRESS: 19% (483/2491) | Rate: 602/hr | ETA: 3h 20m
15:51:35 Downloading 20231103...
✓ 20231103 complete (30B)
PROGRESS: 19% (484/2491) | Rate: 602/hr | ETA: 3h 20m
15:51:36 Downloading 20231106...
✓ 20231106 complete (30B)
PROGRESS: 19% (485/2491) | Rate: 603/hr | ETA: 3h 19m
15:51:38 Downloading 20231107...
✓ 20231107 complete (30B)
PROGRESS: 19% (486/2491) | Rate: 604/hr | ETA: 3h 19m
15:51:40 Downloading 20231108...
✓ 20231108 complete (30B)
PROGRESS: 19% (487/2491) | Rate: 605/hr | ETA: 3h 18m
15:51:41 Downloading 20231109...
✓ 20231109 complete (30B)
PROGRESS: 19% (488/2491) | Rate: 606/hr | ETA: 3h 18m
15:51:43 Downloading 20231110...
✓ 20231110 complete (30B)
PROGRESS: 19% (489/2491) | Rate: 607/hr | ETA: 3h 17m
15:51:44 Downloading 20231113...
✓ 20231113 complete (30B)
PROGRESS: 19% (490/2491) | Rate: 608/hr | ETA: 3h 17m
15:51:46 Downloading 20231114...
✓ 20231114 complete (30B)
PROGRESS: 19% (491/2491) | Rate: 609/hr | ETA: 3h 17m
15:51:47 Downloading 20231115...
✓ 20231115 complete (30B)
PROGRESS: 19% (492/2491) | Rate: 610/hr | ETA: 3h 16m
15:51:49 Downloading 20231116...
✓ 20231116 complete (30B)
PROGRESS: 19% (493/2491) | Rate: 611/hr | ETA: 3h 16m
15:51:51 Downloading 20231117...
✓ 20231117 complete (30B)
PROGRESS: 19% (494/2491) | Rate: 611/hr | ETA: 3h 16m
15:51:52 Downloading 20231120...
✓ 20231120 complete (30B)
PROGRESS: 19% (495/2491) | Rate: 613/hr | ETA: 3h 15m
15:51:54 Downloading 20231121...
✓ 20231121 complete (30B)
PROGRESS: 19% (496/2491) | Rate: 613/hr | ETA: 3h 15m
15:51:55 Downloading 20231122...
✓ 20231122 complete (30B)
PROGRESS: 19% (497/2491) | Rate: 614/hr | ETA: 3h 14m
15:51:57 Downloading 20231123...
✓ 20231123 complete (30B)
PROGRESS: 19% (498/2491) | Rate: 615/hr | ETA: 3h 14m
15:51:58 Downloading 20231124...
✓ 20231124 complete (30B)
PROGRESS: 20% (499/2491) | Rate: 616/hr | ETA: 3h 14m
15:52:00 Downloading 20231127...
✓ 20231127 complete (30B)
PROGRESS: 20% (500/2491) | Rate: 617/hr | ETA: 3h 13m
15:52:02 Downloading 20231128...
✓ 20231128 complete (30B)
PROGRESS: 20% (501/2491) | Rate: 618/hr | ETA: 3h 13m
15:52:03 Downloading 20231129...
✓ 20231129 complete (30B)
PROGRESS: 20% (502/2491) | Rate: 619/hr | ETA: 3h 12m
15:52:05 Downloading 20231130...
✓ 20231130 complete (30B)
PROGRESS: 20% (503/2491) | Rate: 620/hr | ETA: 3h 12m
15:52:06 Downloading 20231201...
✓ 20231201 complete (30B)
PROGRESS: 20% (504/2491) | Rate: 621/hr | ETA: 3h 11m
15:52:08 Downloading 20231204...
✓ 20231204 complete (30B)
PROGRESS: 20% (505/2491) | Rate: 621/hr | ETA: 3h 11m
15:52:09 Downloading 20231205...
✓ 20231205 complete (30B)
PROGRESS: 20% (506/2491) | Rate: 622/hr | ETA: 3h 11m
15:52:11 Downloading 20231206...
✓ 20231206 complete (30B)
PROGRESS: 20% (507/2491) | Rate: 623/hr | ETA: 3h 11m
15:52:13 Downloading 20231207...
✓ 20231207 complete (30B)
PROGRESS: 20% (508/2491) | Rate: 624/hr | ETA: 3h 10m
15:52:14 Downloading 20231208...
✓ 20231208 complete (30B)
PROGRESS: 20% (509/2491) | Rate: 625/hr | ETA: 3h 10m
15:52:16 Downloading 20231211...
✓ 20231211 complete (30B)
PROGRESS: 20% (510/2491) | Rate: 626/hr | ETA: 3h 9m
15:52:17 Downloading 20231212...
✓ 20231212 complete (30B)
PROGRESS: 20% (511/2491) | Rate: 627/hr | ETA: 3h 9m
15:52:19 Downloading 20231213...
✓ 20231213 complete (30B)
PROGRESS: 20% (512/2491) | Rate: 628/hr | ETA: 3h 9m
15:52:20 Downloading 20231214...
✓ 20231214 complete (30B)
PROGRESS: 20% (513/2491) | Rate: 629/hr | ETA: 3h 8m
15:52:22 Downloading 20231215...
✓ 20231215 complete (30B)
PROGRESS: 20% (514/2491) | Rate: 630/hr | ETA: 3h 8m
15:52:24 Downloading 20231218...
✓ 20231218 complete (30B)
PROGRESS: 20% (515/2491) | Rate: 630/hr | ETA: 3h 8m
15:52:25 Downloading 20231219...
✓ 20231219 complete (30B)
PROGRESS: 20% (516/2491) | Rate: 631/hr | ETA: 3h 7m
15:52:27 Downloading 20231220...
✓ 20231220 complete (30B)
PROGRESS: 20% (517/2491) | Rate: 632/hr | ETA: 3h 7m
15:52:28 Downloading 20231221...
✓ 20231221 complete (30B)
PROGRESS: 20% (518/2491) | Rate: 633/hr | ETA: 3h 7m
15:52:30 Downloading 20231222...
✓ 20231222 complete (30B)
PROGRESS: 20% (519/2491) | Rate: 634/hr | ETA: 3h 6m
15:52:32 Downloading 20231225...
✓ 20231225 complete (30B)
PROGRESS: 20% (520/2491) | Rate: 635/hr | ETA: 3h 6m
